;Luontobongaajien kerho ry
; Kenttien järjestys tiedostossa on seuraava:
;id|nimi|tieteellinen_nimi|heimo|laji
185|Idänuunilintu|Phylloscopus trochiloides|Uunilinnut, Phylloscopidae|Lintu
186|Keltasirkku|Emberiza citrinella|Sirkut, Emberizidae|Lintu
187|Vuorihemppo|Linaria flavirostris|Peipot, Fringillidae|Lintu
188|Tylli|Charadrius hiaticula|Kurmitsat, Charadriidae|Lintu
189|Isolepinkäinen|Lanius excubitor|Lepinkäiset, Laniidae|Lintu
190|Peukaloinen|Troglodytes troglodytes|Peukaloiset, Troglodytidae|Lintu
191|Jalohaikara|Ardea alba|Haikarat, Ardeidae|Lintu
192|Merilokki|Larus marinus|Lokit, Laridae|Lintu
193|Pikkulepinkäinen|Lanius collurio|Lepinkäiset, Laniidae|Lintu
194|Jänkäkurppa|Lymnocryptes minimus|Kurpat, Scolopacidae|Lintu
195|Töyhtötiainen|Lophophanes cristatus|Tiaiset, Paridae|Lintu
196|Pikkutylli|Charadrius dubius|Kurmitsat, Charadriidae|Lintu
197|Lyhytnokkahanhi|Anser brachyrhynchus|Sorsat, Anatidae|Lintu
198|Uivelo|Mergellus albellus|Sorsat, Anatidae|Lintu
199|Rautiainen|Prunella modularis|Rautiaiset, Prunellidae|Lintu
200|Pikkukäpylintu|Loxia curvirostra|Peipot, Fringillidae|Lintu
201|Hiirihaukka|Buteo buteo|Haukat, Accipitridae|Lintu
202|Pähkinänakkeli|Sitta europaea|Nakkelit, Sittidae|Lintu
203|Mustarastas|Turdus merula|Rastaat, Turdidae|Lintu
204|Tunturikihu|Stercorarius longicaudus|Kihut, Stercorariidae|Lintu
205|Punavarpunen|Carpodacus erythrinus|Peipot, Fringillidae|Lintu
206|Avosetti|Recurvirostra avosetta|Avosetit, Recurvirostridae|Lintu
207|Nokikana|Fulica atra|Rantakanat, Rallidae|Lintu
208|Taivaanvuohi|Gallinago gallinago|Kurpat, Scolopacidae|Lintu
209|Käenpiika|Jynx torquilla|Tikat, Picidae|Lintu
210|Sinitiainen|Cyanistes caeruleus|Tiaiset, Paridae|Lintu
211|Muuttohaukka|Falco peregrinus|Jalohaukat, Falconidae|Lintu
212|Harmaapäätikka|Picus canus|Tikat, Picidae|Lintu
213|Viitatiainen|Poecile palustris|Tiaiset, Paridae|Lintu
214|Kattohaikara|Ciconia ciconia|Kattohaikarat, Ciconiidae|Lintu
215|Silkkiuikku|Podiceps cristatus|Uikut, Podicipedidae|Lintu
216|Koskikara|Cinclus cinclus|Koskikarat, Cinclidae|Lintu
217|Harjalintu|Upupa epops|Harjalinnut, Upupidae|Lintu
218|Sepelhanhi|Branta bernicla|Sorsat, Anatidae|Lintu
219|Mustatiira|Chlidonias niger|Tiirat, Sternidae|Lintu
220|Tiibetinhanhi|Anser indicus|Sorsat, Anatidae|Lintu
221|Pikkujoutsen|Cygnus columbianus ssp. bewickii|Sorsat, Anatidae|Lintu
222|Pikkulokki|Hydrocoloeus minutus|Lokit, Laridae|Lintu
223|Isosirri|Calidris canutus|Kurpat, Scolopacidae|Lintu
224|Töyhtöhyyppä|Vanellus vanellus|Kurmitsat, Charadriidae|Lintu
225|Mustalintu|Melanitta nigra|Sorsat, Anatidae|Lintu
226|Pulmunen|Plectrophenax nivalis|Pulmuset, Calcariidae|Lintu
227|Vihervarpunen|Spinus spinus|Peipot, Fringillidae|Lintu
228|Räystäspääsky|Delichon urbicum|Pääskyt, Hirundinidae|Lintu
229|Lapinsirkku|Calcarius lapponicus|Pulmuset, Calcariidae|Lintu
